i,j,hamming,corr,same_class,cls_i,cls_j,file_i,file_j,src_i,src_j
1,20,5,0.8725074377279836,True,normal,normal,N10.JPEG,N3.JPEG,dataset1,dataset1
1,30,0,0.9383936801258508,True,normal,normal,N10.JPEG,N7.JPEG,dataset1,dataset1
1,36,6,0.5182192533695017,False,normal,osteoporosis,N10.JPEG,OS12.jpg,dataset1,dataset1
2,3,3,0.8006786817174467,True,normal,normal,N11.JPEG,N12.JPEG,dataset1,dataset1
2,32,5,0.750452438465175,True,normal,normal,N11.JPEG,N9.JPEG,dataset1,dataset1
3,3,0,0.9999999999999998,True,normal,normal,N12.JPEG,N12.JPEG,dataset1,dataset1
3,32,6,0.8077500820191651,True,normal,normal,N12.JPEG,N9.JPEG,dataset1,dataset1
5,5,0,1.0,True,normal,normal,N14.jpg,N14.jpg,dataset1,dataset1
5,6,1,0.8439931513622123,True,normal,normal,N14.jpg,N15.jpg,dataset1,dataset1
5,8,1,0.7634740747844954,True,normal,normal,N14.jpg,N17.jpg,dataset1,dataset1
5,10,1,0.7375005239799872,True,normal,normal,N14.jpg,N19.jpg,dataset1,dataset1
5,12,4,0.8404772001614719,True,normal,normal,N14.jpg,N20.jpg,dataset1,dataset1
5,27,4,0.7354548976142109,True,normal,normal,N14.jpg,N4.JPEG,dataset1,dataset1
5,28,6,0.7066721607367461,True,normal,normal,N14.jpg,N5.JPEG,dataset1,dataset1
5,31,5,0.7194590150429095,True,normal,normal,N14.jpg,N8.JPEG,dataset1,dataset1
5,37,1,0.7627132261793621,False,normal,osteoporosis,N14.jpg,OS13.jpg,dataset1,dataset1
5,38,6,0.775344831252927,False,normal,osteoporosis,N14.jpg,OS14.jpg,dataset1,dataset1
5,40,2,0.8779581186792089,False,normal,osteoporosis,N14.jpg,OS16.jpg,dataset1,dataset1
5,41,3,0.8122982023982988,False,normal,osteoporosis,N14.jpg,OS17.jpg,dataset1,dataset1
5,42,1,0.8966413901562945,False,normal,osteoporosis,N14.jpg,OS18.jpg,dataset1,dataset1
5,43,2,0.8207132254331022,False,normal,osteoporosis,N14.jpg,OS19.jpg,dataset1,dataset1
5,47,2,0.7763021450170339,False,normal,osteoporosis,N14.jpg,OS22.jpg,dataset1,dataset1
5,70,3,0.6742082808584229,False,normal,osteoporosis,N14.jpg,OS46.jpg,dataset1,dataset1
6,6,0,1.0000000000000002,True,normal,normal,N15.jpg,N15.jpg,dataset1,dataset1
6,8,0,0.7765674255566192,True,normal,normal,N15.jpg,N17.jpg,dataset1,dataset1
6,10,0,0.7454798447122707,True,normal,normal,N15.jpg,N19.jpg,dataset1,dataset1
6,12,5,0.8470124654990624,True,normal,normal,N15.jpg,N20.jpg,dataset1,dataset1
6,27,3,0.7218157592153323,True,normal,normal,N15.jpg,N4.JPEG,dataset1,dataset1
6,31,4,0.6915819611863825,True,normal,normal,N15.jpg,N8.JPEG,dataset1,dataset1
6,37,0,0.824480480244525,False,normal,osteoporosis,N15.jpg,OS13.jpg,dataset1,dataset1
6,38,5,0.8692225695995985,False,normal,osteoporosis,N15.jpg,OS14.jpg,dataset1,dataset1
6,39,6,0.7823319991947182,False,normal,osteoporosis,N15.jpg,OS15.jpg,dataset1,dataset1
6,40,1,0.8453339873568015,False,normal,osteoporosis,N15.jpg,OS16.jpg,dataset1,dataset1
6,41,2,0.847093988020256,False,normal,osteoporosis,N15.jpg,OS17.jpg,dataset1,dataset1
6,42,2,0.8002011452928884,False,normal,osteoporosis,N15.jpg,OS18.jpg,dataset1,dataset1
6,43,1,0.8985855847564899,False,normal,osteoporosis,N15.jpg,OS19.jpg,dataset1,dataset1
6,47,1,0.7502750793681029,False,normal,osteoporosis,N15.jpg,OS22.jpg,dataset1,dataset1
6,70,2,0.661549002747321,False,normal,osteoporosis,N15.jpg,OS46.jpg,dataset1,dataset1
7,28,6,0.6458828798837175,True,normal,normal,N16.jpg,N5.JPEG,dataset1,dataset1
8,8,0,1.0000000000000002,True,normal,normal,N17.jpg,N17.jpg,dataset1,dataset1
8,10,0,0.8400234527539387,True,normal,normal,N17.jpg,N19.jpg,dataset1,dataset1
8,12,5,0.6651436450278054,True,normal,normal,N17.jpg,N20.jpg,dataset1,dataset1
8,27,3,0.5911442826279623,True,normal,normal,N17.jpg,N4.JPEG,dataset1,dataset1
8,31,4,0.6697149751153751,True,normal,normal,N17.jpg,N8.JPEG,dataset1,dataset1
8,37,0,0.8920539972394208,False,normal,osteoporosis,N17.jpg,OS13.jpg,dataset1,dataset1
8,38,5,0.8473145158841802,False,normal,osteoporosis,N17.jpg,OS14.jpg,dataset1,dataset1
8,39,6,0.7038769966542091,False,normal,osteoporosis,N17.jpg,OS15.jpg,dataset1,dataset1
8,40,1,0.7488249588221884,False,normal,osteoporosis,N17.jpg,OS16.jpg,dataset1,dataset1
